Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,CYCLING,05-05-2019,12:24:46,05:15:41,118.90,162,22.6,56.9,02:39,01:03,3015,36,,,,623,1053,1043,,,,170.0,55.0,200,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,0,,,,,
,00:00:01,,,,,0,,,,,
,00:00:02,,,,,0,,,,,
,00:00:03,,,,,0,,,,,
,00:00:04,123,,,,0,,,,,
,00:00:05,123,,,,0,,,,,
,00:00:06,125,,,,0,,,,,
,00:00:07,127,,,,0,,,,,
,00:00:08,126,,,,0,,,,,
,00:00:09,126,,,,0,,,,,
,00:00:10,125,,,,0,,,,,
,00:00:11,123,,,,0,,,,,
,00:00:12,122,,,,0,,,,,
,00:00:13,120,,,,0,,,,,
,00:00:14,118,,,,0,,,,,
,00:00:15,117,,,,0,,,,,
,00:00:16,117,,,,0,,,,,
,00:00:17,118,,,,0,,,,,
,00:00:18,118,,,,0,,,,,
,00:00:19,119,,,,0,,,,,
,00:00:20,120,,,,0,,,,,
,00:00:21,122,,,,0,,,,,
,00:00:22,122,,,,0,,,,,
,00:00:23,121,,,,0,,,,,
,00:00:24,120,,,,0,,,,,
,00:00:25,118,,,,0,,,,,
,00:00:26,117,,,,0,,,,,
,00:00:27,115,,,,0,,,,,
,00:00:28,113,,,,0,,,,,
,00:00:29,112,,,,0,,,,,
,00:00:30,111,,,,0,,,,,
,00:00:31,111,,,,0,,,,,
,00:00:32,111,,,,0,,,,,
,00:00:33,113,,,,0,,,,,
,00:00:34,114,,,,0,,,,,
,00:00:35,114,,,,0,,,,,
,00:00:36,114,,,,0,,,,,
,00:00:37,114,,,,0,,,,,
,00:00:38,106,,,,0,,,,,
,00:00:39,105,,,,0,,,,,
,00:00:40,105,,,,0,,,,,
,00:00:41,105,,,,0,,,,,
,00:00:42,105,,,,0,,,,,
,00:00:43,109,,,,0,,,,,
,00:00:44,113,,,,0,,,,,
