Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,RUNNING,22-12-2022,18:46:38,01:31:37,13.91,171,9.1,14.3,06:35,04:12,1013,19,84,,41,255,236,311,,,,168.0,57.0,202,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,111,0.0,00:00,0,0,,0.00,,,
,00:00:01,112,0.3,211:29,0,0,,0.00,,,
,00:00:02,113,0.8,77:35,0,0,,0.00,,,
,00:00:03,114,1.5,39:20,0,0,,0.30,,,
,00:00:04,116,2.4,24:37,64,0,,0.90,,,
,00:00:05,118,4.8,12:29,75,0,,1.70,,,
,00:00:06,119,6.5,09:18,79,0,,3.30,,,
,00:00:07,122,7.2,08:23,79,0,,5.60,,,
,00:00:08,125,7.3,08:16,79,0,,7.60,,,
,00:00:09,127,7.2,08:17,82,0,,9.90,,,
,00:00:10,128,7.3,08:11,83,0,,11.90,,,
,00:00:11,130,7.6,07:53,85,0,,13.70,,,
,00:00:12,131,8.1,07:25,85,0,,16.20,,,
,00:00:13,133,8.5,07:02,85,0,,18.40,,,
,00:00:14,134,8.5,07:02,82,0,,20.60,,,
,00:00:15,135,9.2,06:29,81,0,,20.90,,,
,00:00:16,136,9.5,06:19,82,0,,24.87,,,
,00:00:17,138,9.5,06:19,83,0,,28.40,,,
,00:00:18,139,9.7,06:13,83,0,,28.70,,,
,00:00:19,140,0.0,00:00,83,0,,31.30,,,
,00:00:20,141,0.0,00:00,83,0,,31.80,,,
,00:00:21,141,4.3,13:57,83,0,,31.80,,,
,00:00:22,141,6.1,09:50,81,0,,32.70,,,
,00:00:23,142,7.9,07:36,81,0,,33.10,,,
,00:00:24,143,8.2,07:19,81,0,,35.60,,,
,00:00:25,143,8.7,06:54,81,0,,38.30,,,
,00:00:26,144,9.4,06:23,81,0,,41.00,,,
,00:00:27,145,9.6,06:15,81,0,,44.20,,,
,00:00:28,145,9.7,06:11,81,0,,47.20,,,
,00:00:29,146,9.9,06:04,81,0,,50.00,,,
,00:00:30,147,9.9,06:04,81,0,,53.00,,,
,00:00:31,148,9.6,06:15,81,0,,56.97,,,
,00:00:32,150,9.5,06:19,81,0,,60.94,,,
,00:00:33,151,9.6,06:15,81,0,,64.92,,,
,00:00:34,152,9.6,06:15,81,0,,68.89,,,
,00:00:35,152,9.4,06:23,81,0,,72.86,,,
,00:00:36,152,9.2,06:31,81,0,,76.83,,,
,00:00:37,153,9.0,06:40,81,0,,80.81,,,
,00:00:38,153,8.7,06:54,81,0,,84.78,,,
,00:00:39,153,8.4,07:09,81,0,,88.75,,,
,00:00:40,153,8.3,07:14,81,0,,91.50,,,
,00:00:41,154,8.3,07:14,81,0,,93.70,,,
,00:00:42,155,8.5,07:04,81,0,,96.10,,,
,00:00:43,155,8.8,06:49,81,0,,98.60,,,
,00:00:44,155,9.3,06:27,81,0,,101.20,,,
