Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
t t,RUNNING,15-04-2023,16:08:29,01:08:13,10.44,160,9.2,12.3,06:32,04:53,685,23,83,,48,162,115,102,,,,168.0,57.0,202,55,52,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,0.0,00:00,0,0,,0.00,,,
,00:00:01,,0.1,00:00,0,0,,0.00,,,
,00:00:02,,0.3,182:42,0,0,,0.00,,,
,00:00:03,,0.8,72:32,0,0,,0.00,,,
,00:00:04,,1.4,42:28,0,0,,0.40,,,
,00:00:05,,2.0,29:36,38,0,,0.90,,,
,00:00:06,,2.7,22:22,57,0,,1.60,,,
,00:00:07,,4.5,13:16,68,0,,2.60,,,
,00:00:08,83,6.3,09:34,76,0,,4.20,,,
,00:00:09,83,7.4,08:09,77,0,,6.20,,,
,00:00:10,83,7.9,07:34,78,0,,8.80,,,
,00:00:11,83,8.1,07:23,78,0,,11.00,,,
,00:00:12,83,8.1,07:25,78,0,,13.60,,,
,00:00:13,83,8.1,07:26,78,0,,15.70,,,
,00:00:14,84,8.1,07:24,78,0,,17.70,,,
,00:00:15,85,8.1,07:23,78,0,,20.30,,,
,00:00:16,87,8.1,07:24,78,0,,22.30,,,
,00:00:17,90,8.0,07:28,78,0,,24.50,,,
,00:00:18,92,7.9,07:35,78,0,,26.90,,,
,00:00:19,95,7.7,07:46,77,0,,28.90,,,
,00:00:20,94,7.5,07:59,77,0,,31.40,,,
,00:00:21,94,7.3,08:12,77,0,,33.30,,,
,00:00:22,94,7.2,08:22,78,0,,35.10,,,
,00:00:23,94,7.1,08:27,78,0,,37.30,,,
,00:00:24,97,7.1,08:27,78,0,,39.10,,,
,00:00:25,99,7.2,08:21,77,0,,40.90,,,
,00:00:26,102,7.3,08:13,77,0,,43.20,,,
,00:00:27,105,7.4,08:06,77,0,,45.10,,,
,00:00:28,106,7.5,08:00,77,0,,47.00,,,
,00:00:29,106,7.6,07:56,77,0,,49.40,,,
,00:00:30,107,7.6,07:53,78,0,,51.30,,,
,00:00:31,108,7.7,07:51,78,0,,53.70,,,
,00:00:32,110,7.7,07:47,78,0,,55.70,,,
,00:00:33,112,7.7,07:47,78,0,,57.70,,,
,00:00:34,114,7.8,07:43,78,0,,58.00,,,
,00:00:35,116,7.8,07:42,78,0,,61.42,,,
,00:00:36,118,7.8,07:42,78,0,,64.20,,,
,00:00:37,120,7.8,07:40,78,0,,64.50,,,
,00:00:38,120,7.9,07:38,78,0,,67.92,,,
,00:00:39,121,7.9,07:38,78,0,,70.70,,,
,00:00:40,122,7.9,07:37,78,0,,71.00,,,
,00:00:41,122,7.9,07:35,78,0,,73.00,,,
,00:00:42,123,7.9,07:33,78,0,,75.50,,,
,00:00:43,123,8.0,07:33,78,0,,77.50,,,
,00:00:44,123,7.9,07:33,78,0,,79.60,,,
,00:00:45,122,7.9,07:34,78,0,,82.10,,,
,00:00:46,121,7.9,07:34,78,0,,84.10,,,
,00:00:47,121,7.9,07:35,78,0,,86.10,,,
,00:00:48,120,7.9,07:37,77,0,,88.60,,,
,00:00:49,119,7.8,07:39,77,0,,90.60,,,
,00:00:50,118,7.8,07:42,77,0,,93.10,,,
,00:00:51,118,7.7,07:46,77,0,,95.00,,,
,00:00:52,117,7.7,07:49,78,0,,97.00,,,
,00:00:53,117,7.6,07:53,78,0,,99.40,,,
,00:00:54,117,7.5,07:57,78,0,,101.30,,,
,00:00:55,117,7.5,08:01,77,0,,103.30,,,
,00:00:56,117,7.4,08:05,77,0,,105.60,,,
,00:00:57,117,7.4,08:08,77,0,,107.50,,,
,00:00:58,117,7.3,08:11,77,0,,109.40,,,
,00:00:59,117,7.3,08:14,77,0,,111.60,,,
,00:01:00,117,7.2,08:17,77,0,,113.60,,,
,00:01:01,117,7.2,08:19,77,0,,115.80,,,
,00:01:02,118,7.2,08:22,77,0,,117.70,,,
,00:01:03,118,7.2,08:23,77,0,,119.50,,,
,00:01:04,118,7.1,08:24,77,0,,121.80,,,
,00:01:05,118,7.1,08:24,77,0,,123.50,,,
,00:01:06,119,7.2,08:23,77,0,,125.30,,,
,00:01:07,119,7.2,08:22,77,0,,127.60,,,
,00:01:08,119,7.2,08:21,77,0,,129.50,,,
,00:01:09,120,7.2,08:20,77,0,,131.70,,,
,00:01:10,120,7.2,08:19,77,0,,133.60,,,
,00:01:11,120,7.2,08:17,77,0,,135.40,,,
,00:01:12,120,7.3,08:13,77,0,,137.70,,,
,00:01:13,121,7.4,08:09,77,0,,139.60,,,
,00:01:14,121,7.4,08:03,78,0,,141.50,,,
,00:01:15,121,7.5,07:58,78,0,,143.90,,,
,00:01:16,121,7.6,07:52,78,0,,145.80,,,
,00:01:17,121,7.7,07:46,78,0,,147.80,,,
,00:01:18,121,7.8,07:41,78,0,,150.30,,,
,00:01:19,121,7.9,07:36,78,0,,152.30,,,
,00:01:20,121,8.0,07:32,78,0,,154.80,,,
,00:01:21,122,8.0,07:30,78,0,,156.90,,,
,00:01:22,121,8.0,07:29,78,0,,158.90,,,
,00:01:23,121,8.0,07:28,78,0,,161.40,,,
,00:01:24,121,8.0,07:28,78,0,,163.50,,,
,00:01:25,120,8.0,07:28,79,0,,165.60,,,
,00:01:26,120,8.0,07:28,79,0,,165.90,,,
,00:01:27,120,8.0,07:29,80,0,,169.32,,,
,00:01:28,120,8.0,07:29,79,0,,172.20,,,
,00:01:29,120,8.0,07:32,79,0,,172.50,,,
,00:01:30,120,7.9,07:35,79,0,,174.50,,,
,00:01:31,120,7.8,07:40,79,0,,177.00,,,
,00:01:32,120,7.8,07:44,79,0,,179.00,,,
,00:01:33,120,7.7,07:48,79,0,,180.90,,,
,00:01:34,120,7.6,07:51,79,0,,183.40,,,
,00:01:35,120,7.6,07:54,79,0,,185.30,,,
,00:01:36,120,7.6,07:56,77,0,,187.20,,,
,00:01:37,120,7.5,07:58,77,0,,189.60,,,
,00:01:38,120,7.5,07:59,77,0,,191.50,,,
,00:01:39,120,7.5,08:01,77,0,,193.90,,,
,00:01:40,120,7.5,08:03,77,0,,195.90,,,
,00:01:41,120,7.4,08:05,77,0,,197.70,,,
,00:01:42,121,7.4,08:08,77,0,,200.10,,,
,00:01:43,121,7.3,08:12,76,0,,201.90,,,
,00:01:44,121,7.3,08:16,76,0,,203.80,,,
,00:01:45,121,7.2,08:20,76,0,,206.10,,,
,00:01:46,121,7.1,08:24,76,0,,207.90,,,
,00:01:47,121,7.1,08:27,76,0,,209.70,,,
